Order,Family,Genus,Species,Authority,CommonName,AdultBodyMass,CranialCapacity,DietBreadth,Diet: invertebrates,Diet: vertebrates,Diet: fruits,Diet: flower/nectar/pollen/gums,Diet: seeds,Diet: other plant materials,Diet: scavenge; garbage; carrion; carcasses,TrophicLevel,HabitatBreadth,ActivityCycle,ForagingStratum,GestationLength,LitterSize,InterbirthInterval,HomeRange,PopulationDensity,SocialGrpSize,Longevity,Dry,Humid,Montane,Subarid,Subhumid,Alaotra.Mangoro,Amoron.i.Mania,Analamanga,Analanjirofo,Androy,Anosy,Atsimo.Andrefana,Atsimo.Atsinanana,Atsinanana,Betsiboka,Boeny,Bongolava,DIANA,Haute.Matsiatra,Ihorombe,Itasy,Melaky,Menabe,SAVA,Sofia,Vakinankaratra,Vatovavy.Fitovinany,Antananarivo,Antsiranana,Fianarantsoa,Mahajanga,Toamasina,Toliara,References
Primates,Cheirogaleidae,Allocebus,Allocebus trichotis,(Günther; 1875),Hairy-eared Dwarf Lemur,78,-999,3,yes,no,yes,yes,no,yes,no,2,1,2,3,60.83,1,365,10.4,18,1,107.8,0,1,1,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,347; 376; 207; 146; 191; 108; 133; 252; 7; 255
Primates,Indriidae,Avahi,Avahi betsileo,Andriantompohavana; Lei; Zaonarivelo; Engberg; Nalanirina; McGuire; Shore; Andrianasolo; Herrington; Brenneman & Louis Jr.; 2007,Betsileo Woolly Lemur,1082,-999,2,no,no,yes,no,no,yes,no,1,1,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0,1,0,347; 207; 116; 178; 252
Primates,Indriidae,Avahi,Avahi cleesei,Thalmann & Geissmann; 2005,Bemaraha Woolly Lemur; John Cleese's Avahi,946,-999,2,no,no,yes,no,no,yes,no,1,2,1,3,-999,-999,-999,0.02,-999,-999,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,1,347; 207; 116; 313; 252; 133
Primates,Indriidae,Avahi,Avahi laniger,(Gmelin; 1788),Eastern Woolly Lemur; Woolly Indris; Gmelin's Woolly Lemur; Eastern Avahi,1180,10,2,no,no,yes,no,no,yes,no,1,2,1,3,110.05,1.01,365,0.01,84.85,2,-999,1,1,1,0,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,1,1,0,347; 54; 376; 146; 207; 191
Primates,Indriidae,Avahi,Avahi meridionalis,Zaramody; Fausser; Roos; Zinner; Andriaholinirina; Rabarivola; Norscia; Tattersall & Rumpler; 2006,Southern Woolly Lemur,1212.5,-999,2,no,no,yes,no,no,yes,no,1,1,1,3,-999,-999,-999,-999,114,-999,-999,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,258; 207; 116; 106; 252; 6
Primates,Indriidae,Avahi,Avahi mooreorum,Lei; Engberg; Andriantompohavana; McGuire; Mittermeier; Zaonarivelo; Brenneman & Louis; 2008,Moore's Woolly Lemur; Masoala Woolly Lemur,924,-999,1,no,no,no,no,no,yes,no,1,-999,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,347; 328; 178; 252
Primates,Indriidae,Avahi,Avahi occidentalis,von Lorenz-Liburnau; 1898,Lorenz Von Liburnau's Woolly Lemur; Western Avahi; Western Woolly Lemur,897,7.95,1,no,no,no,no,no,yes,no,1,1,2,3,135,1.01,365,0.01,66.99,3,-999,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,347; 185; 376; 146; 207; 191; 397; 255
Primates,Indriidae,Avahi,Avahi peyrierasi,Zaramody; Fausser; Roos; Zinner; Andriaholinirina; Rabarivola; Norscia; Tattersall & Rumpler; 2006,Peyrieras' Woolly Lemur,1034,-999,2,no,no,yes,no,no,yes,no,1,2,1,3,-999,-999,-999,-999,29.81,-999,-999,0,1,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0,347; 207; 116; 178; 252; 179
Primates,Indriidae,Avahi,Avahi ramanantsoavanai,Zaramody; Fausser; Roos; Zinner; Andriaholinirina; Rabarivola; Norscia; Tattersall & Rumpler; 2006,Ramantsoavana's Southern Woolly Lemur,983,-999,2,no,no,yes,no,no,yes,no,1,2,1,3,-999,-999,-999,-999,-999,-999,-999,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,347; 207; 116; 106; 252
Primates,Indriidae,Avahi,Avahi unicolor,Thalmann & Geissmann; 2000,Sambirano Woolly Lemur; Sambirano Avahi,853,-999,2,no,no,yes,no,no,yes,no,1,-999,1,3,-999,1,-999,-999,-999,-999,-999,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,347; 376; 207; 146; 149
Rodentia,Nesomyidae,Brachytarsomys,Brachytarsomys albicauda,Günther; 1875,White-tailed Tree Rat; White-tailed Rat; White-tailed Antsangy,200,-999,3,yes,yes,yes,no,no,no,no,2,1,1,1,-999,6,-999,-999,-999,-999,-999,0,1,1,0,1,1,1,1,1,0,0,0,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,332; 376; 207; 191; 149
Rodentia,Nesomyidae,Brachytarsomys,Brachytarsomys villosa,Petter; 1962,Hairy-tailed Tree Rat; Hairy-tailed Antsangy,220,-999,3,yes,yes,yes,no,no,no,no,2,1,1,3,-999,-999,365,-999,-999,-999,-999,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,332; 376; 207; 116; 149; 133
